Sleep,23025
Watch_TV,22696
Sleep_Out_Of_Bed,15074
Other_Activity,12216
Read,2865
Relax,1656
Personal_Hygiene,925
Toilet,901
Eat_Breakfast,896
Bathe,886
Dress,758
Cook_Breakfast,603
Phone,517
Eat_Dinner,295
Enter_Home,245
Eat,198
Eat_Lunch,195
Step_Out,194
Cook_Dinner,184
Entertain_Guests,159
Leave_Home,135
Wash_Dishes,130
Drink,128
Wash_Breakfast_Dishes,126
Morning_Meds,123
Cook_Lunch,108
Cook,101
Evening_Meds,99
Bed_Toilet_Transition,96
Groom,87
Wash_Dinner_Dishes,81
Work_At_Table,25
Wash_Lunch_Dishes,18
Go_To_Sleep,6
Wake_Up,1
